Time(s), Force(N)
0.057656049728393555,3.4982
0.15842938423156738,3.4899
0.26035022735595703,3.4705
0.3608856201171875,3.4614
0.46138572692871094,3.4553
0.5619692802429199,3.4443
0.6625373363494873,3.4404
0.7631998062133789,3.4376
0.863706111907959,3.437
0.9642889499664307,3.4358
1.0646753311157227,3.4338
1.1651289463043213,3.4321
1.265775203704834,3.4368
1.366393804550171,3.4346
1.466888666152954,3.4295
1.567556381225586,3.4254
1.6680967807769775,3.4175
1.768700361251831,3.4131
1.8693475723266602,3.4085
1.969998836517334,3.4022
2.070645332336426,3.3928
2.171283721923828,3.3851
2.2718896865844727,3.382
2.3724703788757324,3.3793
2.4730193614959717,3.3739
2.5735924243927,3.3626
2.674243688583374,3.3574
2.774925947189331,3.3587
2.8756155967712402,3.3652
2.976173162460327,3.3559
3.076793909072876,3.3357
3.1774158477783203,3.3298
3.2780609130859375,3.3359
3.378627300262451,3.3257
3.47932505607605,3.3121
3.579828977584839,3.2914
3.6804563999176025,3.275
3.7810888290405273,3.2779
3.8817241191864014,3.2805
3.9823789596557617,3.2822
4.082988500595093,3.2874
4.183587312698364,3.2761
4.284198522567749,3.2642
4.384856939315796,3.265
4.485425710678101,3.2667
4.585982799530029,3.2564
4.686660528182983,3.2555
4.787280559539795,3.2701
4.8878326416015625,3.2636
4.988502025604248,3.2312
5.08913779258728,3.2169
5.1897194385528564,3.2165
5.290216445922852,3.2152
5.390732526779175,3.2269
5.491286754608154,3.235
5.591906309127808,3.2156
5.692556381225586,3.2104
5.793224811553955,3.2199
5.893759489059448,3.2146
5.994412422180176,3.2082
6.095092296600342,3.1998
6.195648908615112,3.1916
6.296302080154419,3.19
6.3969457149505615,3.1996
6.497626066207886,3.2057
6.598124980926514,3.1975
6.6985883712768555,3.1948
6.799274206161499,3.1995
6.899935245513916,3.196
7.000478982925415,3.1914
7.100986003875732,3.1876
7.201487064361572,3.1814
7.301966428756714,3.1735
7.402584075927734,3.1682
7.503129005432129,3.166
7.603686571121216,3.1708
7.704320192337036,3.1801
7.804946184158325,3.1888
7.905602931976318,3.1773
8.006241798400879,3.1552
8.106829166412354,3.143
8.20749568939209,3.1399
8.308042526245117,3.1387
8.408573150634766,3.1196
8.509188652038574,3.1182
8.609563827514648,3.1375
8.710023164749146,3.138
8.81051754951477,3.1242
8.910999059677124,3.1104
9.011505842208862,3.1125
9.112125158309937,3.113
9.212758779525757,3.1075
9.313421249389648,3.1002
9.413979053497314,3.1015
9.514618396759033,3.1042
9.615231037139893,3.105
9.715808868408203,3.1076
9.816446304321289,3.1089
9.917014360427856,3.1033
10.017578840255737,3.0942
10.11812138557434,3.0902
10.218599081039429,3.0927
10.319266557693481,3.1019
10.41979169845581,3.1076
10.520379781723022,3.1037
10.620725870132446,3.0982
10.72115683555603,3.0949
10.821688413619995,3.096
10.922287464141846,3.1013
11.022927045822144,3.1024
11.12339997291565,3.1038
11.2238450050354,3.1004
11.324340343475342,3.0919
11.424986600875854,3.0858
11.525575160980225,3.0847
11.62615442276001,3.0852
11.726639032363892,3.0837
11.827270746231079,3.0796
11.927751302719116,3.0727
12.028309106826782,3.0667
12.128927946090698,3.0653
12.22951865196228,3.0651
12.330134868621826,3.0669
12.430777072906494,3.0678
12.531400442123413,3.0644
12.631949186325073,3.0564
12.73252558708191,3.0532
12.833142757415771,3.0533
12.933781862258911,3.0554
13.034377098083496,3.0532
13.135021686553955,3.0442
13.23569917678833,3.0379
13.336338996887207,3.0319
13.436986684799194,3.0271
13.53763723373413,3.0312
13.638193845748901,3.036
13.738842487335205,3.035
13.839527368545532,3.0303
13.940112590789795,3.0242
14.040716886520386,3.0188
14.141331434249878,3.0195
14.241948127746582,3.0227
14.34256100654602,3.0208
14.443159341812134,3.0164
14.543757677078247,3.0113
14.644385576248169,3.0099
14.745016098022461,3.0125
14.84560513496399,3.0163
14.946234464645386,3.0173
15.046730995178223,3.0131
15.147346258163452,3.0059
15.247988224029541,3.0005
15.348607778549194,2.9977
15.449247598648071,2.9974
15.549927949905396,2.9991
15.650521039962769,3.001
15.751126050949097,2.9978
15.851698398590088,2.9926
15.952301740646362,2.9859
16.05298399925232,2.9837
16.153658390045166,2.9832
16.254312753677368,2.9804
16.35484528541565,2.9771
16.455399990081787,2.994
16.5559663772583,2.9983
16.656588315963745,2.9798
16.75719118118286,2.9698
16.857820510864258,2.9635
16.95842170715332,2.965
17.059091806411743,2.9753
17.159571409225464,3.0198
17.260053873062134,3.0199
17.360652923583984,2.9415
17.461251258850098,2.9041
17.56186866760254,2.9258
17.662519693374634,2.9487
17.763185501098633,2.952
17.863720893859863,2.9476
17.964353561401367,2.9472
18.06503677368164,2.9489
18.165646076202393,2.9508
18.2662992477417,2.9528
18.36698603630066,2.9495
18.467615842819214,2.9465
18.56822395324707,2.9425
18.66887927055359,2.9406
18.76952576637268,2.9425
18.870124578475952,2.9434
18.970638036727905,2.941
19.071277856826782,2.9357
19.171886920928955,2.9327
19.272480487823486,2.9348
19.37311816215515,2.9394
19.473778247833252,2.9446
19.574426889419556,2.9462
19.675132751464844,2.9416
19.775761365890503,2.9387
19.87640404701233,2.9417
19.9769606590271,2.9422
20.077604293823242,2.9491
20.17827844619751,2.9566
20.278866291046143,2.9496
20.37951636314392,2.9485
20.48015022277832,2.9379
20.58070135116577,2.917
20.68127131462097,2.9119
20.781869888305664,2.9315
20.882494926452637,2.9501
20.983164072036743,2.9278
21.083552360534668,2.9181
21.184041500091553,2.9238
21.284682512283325,2.9231
21.385289430618286,2.9205
21.485865592956543,2.9326
21.586504459381104,2.9564
21.687149047851562,2.9645
21.787731170654297,2.9315
21.888399839401245,2.8854
21.988983869552612,2.871
22.089616298675537,2.9028
22.190217971801758,2.9201
22.29084014892578,2.9258
22.39155602455139,2.9285
22.49223518371582,2.9224
22.592761516571045,2.9203
22.693339347839355,2.9226
22.793811082839966,2.9233
22.894455432891846,2.9203
22.99509286880493,2.9157
23.095693588256836,2.9116
23.196330070495605,2.9154
23.296918392181396,2.9204
23.39750576019287,2.9227
23.498100519180298,2.9218
23.598755836486816,2.918
23.69942808151245,2.9153
23.800058841705322,2.9137
23.90065598487854,2.9164
24.001312017440796,2.923
24.101898670196533,2.9243
24.202492475509644,2.921
24.303165912628174,2.9126
24.40374779701233,2.9096
24.50440740585327,2.9156
24.60489058494568,2.9196
24.705444812774658,2.9231
24.805997848510742,2.9231
24.906554460525513,2.916
25.007182359695435,2.9122
